actor_id,actor_type,actor_pattern
0,External,Lost and Stolen Assets
1,Partner,Lost and Stolen Assets
2,External,Web Applications
3,Internal,Miscellaneous Errors
4,Internal,Lost and Stolen Assets
5,Internal,Privilege Misuse
6,External Internal,Privilege Misuse
7,External,Crimeware
8,Unknown,Miscellaneous Errors
9,Partner,Miscellaneous Errors
10,External,Payment Card Skimmers
11,External,Cyber-Espionage
12,External,Everything Else
13,External,Denial of Service
14,Internal Partner,Miscellaneous Errors
15,External,Privilege Misuse
16,Unknown,Everything Else
17,External,Point of Sale
18,Unknown,Payment Card Skimmers
19,External Internal,Miscellaneous Errors
20,Unknown,Lost and Stolen Assets
21,Partner,Privilege Misuse
22,External Partner,Crimeware
23,Internal,Everything Else
24,External Internal Partner,Everything Else
25,Unknown,Web Applications
26,External,Miscellaneous Errors
27,Unknown,Point of Sale
28,External Internal,Lost and Stolen Assets
29,External Unknown,Everything Else
30,Internal Partner,Privilege Misuse
31,External Unknown,Lost and Stolen Assets
32,Internal Partner,Everything Else
33,External Partner,Lost and Stolen Assets
34,External Unknown,Miscellaneous Errors
35,External Internal Partner,Miscellaneous Errors
36,Internal Partner,Lost and Stolen Assets
37,Internal,Payment Card Skimmers
38,External Internal,Everything Else
39,External Internal,Web Applications
40,External Internal Partner,Privilege Misuse
41,External Internal Partner Unknown,Miscellaneous Errors
42,Unknown,Privilege Misuse
43,Internal Partner,Web Applications
44,Partner,Everything Else
45,External Partner,Web Applications
46,External Partner,Everything Else
47,External Partner,Privilege Misuse
48,Internal Unknown,Miscellaneous Errors
49,Internal,Point of Sale
50,External Partner,Cyber-Espionage
51,Internal Unknown,Everything Else
52,Unknown,Crimeware
53,External Partner,Miscellaneous Errors
54,Partner,Web Applications
55,Internal,Crimeware
56,Internal,Web Applications
57,External Internal Partner,Lost and Stolen Assets
58,External Partner,Point of Sale
59,Internal Unknown,Web Applications
